Institution Name,Clearing Code,Branch Name,Branch Code,Branch Address,Telephone Number,Clearing System Status*
BANK OF CHINA (HONG KONG) LIMITED,012,Taikoo Shing Branch,888,Shop G1012  Yiu Sing Mansion  Taikoo Shing  Hong Kong,2886 0612,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tuen Mun Town Plaza Branch,889,Shop 2  Tuen Mun Town  Plaza Phase II  Tuen Mun  New Territories  Hong Kong,2450 8877,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Whampoa Garden Branch,890,Shop G8B  Willow Mansion  Site 1  Whampoa Garden  Hung Hom  Hong Kong,2764 7233,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,North Point Branch,891,Shop B & C  G/F  King's Towers  480 King's Road & 15-23  19A  21A  23A Tsat Tsz Mui Road  North Point  Hong Kong,2811 8880,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sheung Wan Branch,893,Shop 1-4 G/F & 1/F  Tung Hip Commercial Building  244-248 Des Voeux Road Central  Hong Kong,2541 1601,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Site 3 Whampoa Garden Branch,894,Shop 2  Willow Mansion  Site 3 Whampoa Garden  Hung Hom  Kowloon  Hong Kong,2764 7233,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tai Yau Street Branch,895,35 Tai Yau Street  San Po Kong  Kowloon  Hong Kong,2328 0087,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,HKUST Branch,896,The Hong Kong University of Science & Technology  Clear Water Bay Road  New Territories  Hong Kong,2358 2345,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,China Hong Kong City Branch,897,Shop 19-20  2/F  China Hong Kong City  33 Canton Road  Tsim Sha Tsui  Kowloon  Hong Kong,2367 6164,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kowloon Plaza Branch,898,Unit 1  Kowloon Plaza  485 Castle Peak Road  Kowloon  Hong Kong,2370 8928,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Wan Chai (Wu Chung House) Branch,899,213 Queen's Road East  Wan Chai  Hong Kong,2892 0909,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Central District (Wing On House) Branch,916,B/F-2/F  Wing On House  71 Des Voeux Road Central  Hong Kong,2843 6111,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Shanghai Street (Mong Kok) Branch,917,611-617 Shanghai Street  Mong Kok  Kowloon  Hong Kong,2394 4181,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,To Kwa Wan Branch,918,80N To Kwa Wan Road  Kowloon  Hong Kong,2364 4344,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Shau Kei Wan (Po Man Building) Branch,919,260-262 Shau Kei Wan Road  Hong Kong,2568 5211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Wan Chai (Wu Chung House) Branch,920,213 Queen's Road East  Wan Chai  Hong Kong,2892 0909,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tsim Sha Tsui Branch,922,24-28 Carnarvon Road  Tsim Sha Tsui  Kowloon  Hong Kong,2739 1886,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Castle Peak Road (Cheung Sha Wan) Branch,923,365-371 Castle Peak Road  Cheung Sha Wan  Kowloon  Hong Kong,2728 3311,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Yuen Long (Hang Fat Mansion) Branch,924,8-18 Castle Peak Road  Yuen Long  New Territories  Hong Kong,2475 3777,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,North Point (King's Centre) Branch,925,193-209 King's Road  North Point  Hong Kong,2286 2000,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Queen's Road West (Sheung Wan) Branch,926,2-12 Queen's Road West  Sheung Wan  Hong Kong,2815 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Kwai Cheong Road Branch,927,40 Kwai Cheong Road  Kwai Chung  New Territories  Hong Kong,2480 3311,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Ngau Tau Kok Road (Kwun Tong) Branch,928,327 Ngau Tau Kok Road  Kwun Tong  Kowloon  Hong Kong,2389 3301,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Stage 2 Mei Foo Sun Chuen Branch,929,19 Glee Path  Mei Foo Sun Chuen  Kowloon  Hong Kong,2370 8382,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tai Po Branch,930,68-70 Po Heung Street  Tai Po Market  New Territories  Hong Kong,2657 2121,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Lee Chun Street Branch,931,29-31 Lee Chung Street  Chai Wan  Hong Kong,2557 3283,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Jardine's Bazaar Branch,932,G/F  Siki Centre  23 Jardine's Bazaar  Causeway Bay  Hong Kong,2882 1383,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Stanley Branch,933,Shop No.301B  Stanley Plaza  Hong Kong,3982 8188,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,North Point (King's Centre) Branch,934,193-209 King's Road  North Point  Hong Kong,2286 2000,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Cameron Road Wealth Management Centre,935,30 Cameron Road  Tsim Sha Tsui  Kowloon  Hong Kong,2312 0010,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,South Horizons Branch Safe Box Service Centre,936,Shop 118  Marina Square East Centre  Ap Lei Chau  Hong Kong,2555 7477,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Citywalk Branch,937,Shop 65 & 67-69  G/F  Citywalk  1 Yeung Uk Road  Tsuen Wan  New Territories  Hong Kong,2920 3211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Castle Peak Road (Tsuen Wan) Branch,938,G/F-1/F  Sin Ching Building  201-207 Castle Peak Road (Tsuen Wan)  Tsuen Wan  New Territories  Hong Kong,2493 8161,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Central District (Wing On House) Branch,939,B/F-2/F  Wing On House  71 Des Voeux Road Central  Hong Kong,2843 6111,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Chai Wan Branch Safe Box Service Centre,940,27 Gold Mine Building  345 Chai Wan Road  Chai Wan  Hong Kong,2557 0248,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Taikoo Shing Branch Safe Box Service Centre,941,Shop G1006  Hoi Sing Mansion  Taikoo Shing  Hong Kong,2885 4582,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Luen Wo Market Branch Safe Box Service Centre,943,Shop B  10-16 Luen Shing Street  Luen Wo Market  Fanling  New Territories  Hong Kong,2683 1662,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Sheung Shui Branch Securities Services Centre,945,136 San Fung Avenue  Sheung Shui  New Territories  Hong Kong,2672 3738,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Hau Tak Estate Branch Securities Services Centre,946,Shop W015-016  G/F  West Wing TKO Gateway  Hau Tak Estate  Tseung Kwan O  New Territories  Hong Kong,2703 5749,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Castle Peak Road (Tsuen Wan) Wealth Management Centre,948,Shop1  G/F  Cheong Yiu Mansion  167  171-173 Castle Peak Road (Tsuen Wan) & 41-45 Shiu Wo Street  Tsuen Wan  New Territories  Hong Kong,2406 9932,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Discovery Bay Banking Services Centre,949,Shop G28  G/F  Block C  DB Plaza  Discovery Bay City  Lantau Island  New Territories  Hong Kong,2160 8585,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Tai Wai Wealth Management Centre,960,Shop 2-4 on G/F  Yiu Po Mansion  37-47 Tai Wai Road  Sha Tin  New Territories  Hong Kong,2929 4288,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Whampoa Wealth Management Centre,961,Shops A1-A2 & G1  G/F  Block A-E Whampoa Estate  Nos.1-15 Tak Man Street  Hung Hom  Kowloon  Hong Kong,3553 7833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,North Point Wealth Management Centre,962,Shop 5B & 6  G/F  Roca Centre  460-470 King's Road  North Point  Hong Kong,2160 7988,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Happy Valley Wealth Management Centre,963,Nos. 49-51A  Sing Woo Road  Happy Valley  Hong Kong,3982 8270,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Canton Road Wealth Management Centre,968,60 Canton Road  Tsim Sha Tsui  Kowloon  Hong Kong,2730 0688,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Sheung Wan Branch,676,Shop 1-4 G/F & 1/F  Tung Hip Commercial Building  244-248 Des Voeux Road Central  Hong Kong,2541 1601,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Tsim Sha Tsui Branch,677,24-28 Carnarvon Road  Tsim Sha Tsui  Kowloon  Hong Kong,2721 6242,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Shanghai Street (Prince Edward) Branch,678,689-693 Shanghai Street  Mong Kok  Kowloon  Hong Kong,2391 0502,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Castle Peak Road (Cheung Sha Wan) Branch,679,365-371 Castle Peak Road  Cheung Sha Wan  Kowloon  Hong Kong,2728 3311,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Tai Kok Tsui Branch,680,73-77 Tai Kok Tsui Road  Kowloon  Hong Kong,2395 3269,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Ma Tau Kok Road Branch,681,39-45 Ma Tau Kok Road  To Kwa Wan  Kowloon  Hong Kong,2714 9118,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,74 Tai Wai Road Branch,682,74-76 Tai Wai Road  Sha Tin  New Territories  Hong Kong,2699 9523,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Wong Tai Sin Branch,683,Shop G13-G13A  Wong Tai Sin Plaza  Wong Tai Sin  Kowloon  Hong Kong,2327 8147,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Lek Yuen Branch,685,No 1  Fook Hoi House  Lek Yuen Estate  Sha Tin  New Territories  Hong Kong,2605 3021,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Queen's Road West (Sheung Wan) Branch,686,2-12 Queen's Road West  Sheung Wan  Hong Kong,2546 6217,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,China Hong Kong City Branch,687,Shop 19-20  2/F  China Hong Kong City  33 Canton Road  Tsim Sha Tsui  Kowloon  Hong Kong,2367 6164,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Fo Tan Branch,688,No 2  1/F Shatin Galleria  18-24 Shan Mei Street  Fo Tan  New Territories  Hong Kong,2691 7193,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Sheung Shui Branch,689,61 San Fung Avenue  Sheung Shui  New Territories  Hong Kong,2671 0155,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Yau Ma Tei Branch,690,471 Nathan Road  Yau Ma Tei  Kowloon  Hong Kong,2780 2307,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Sha Kok Estate Branch,691,Shop 39  Sha Kok Shopping Centre  Sha Kok Estate  Shatin  New Territories  Hong Kong,2648 0302,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Tai Yau Street Branch,692,35 Tai Yau Street  San Po Kong  Kowloon  Hong Kong,2328 0087,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Kowloon Plaza Branch,693,Unit 1  Kowloon Plaza  485 Castle Peak Road  Kowloon  Hong Kong,2370 8928,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Hung Hom (Eldex Industrial Building) Branch,694,21 Ma Tau Wai Road  Hung Hom  Kowloon  Hong Kong,2764 8363,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,New Town Plaza Branch,695,Shop 608  Level 6 Phase One  New Town Plaza  Sha Tin  New Territories  Hong Kong,2606 6163,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Taikoo Shing Branch,696,Shop G1012  Yiu Sing Mansion  Taikoo Shing  Hong Kong,2886 0612,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Site 11 Whampoa Garden Branch,697,Shop G6  Site 11 Whampoa Garden  Hung Hom  Kowloon  Hong Kong,2363 3982,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Ngau Tau Kok Road (Kwun Tong) Branch,698,327 Ngau Tau Kok Road  Kwun Tong  Kowloon  Hong Kong,2389 3301,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Wan Chai (China Overseas Building) Branch,699,139 Hennessy Road  Wan Chai  Hong Kong,2529 0866,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Happy Valley Branch,700,11 King Kwong Street  Happy Valley  Hong Kong,2838 6668,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Whampoa Garden Branch,701,Shop G8B  Site 1  Whampoa Garden  Hung Hom  Kowloon  Hong Kong,2764 7233,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,North Point (King's Centre) Branch,702,193-209 King's Road  North Point  Hong Kong,2286 2000,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Mong Kok (Union Park Centre) Branch,703,1/F Union Park Centre  771 Nathan Road  Mong Kok  Kowloon  Hong Kong,2928 4138,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Ngau Tau Kok Road (Kwun Tong) Branch,704,327 Ngau Tau Kok Road  Kwun Tong  Kowloon  Hong Kong,2389 3301,MDDM
BANK OF CHINA (HONG KONG) LIMITED,014,Prince Edward Road West (Mong Kok) Branch,705,116-118 Prince Edward Road West  Mong Kok  Kowloon  Hong Kong,2928 4138,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Yuen Long Branch,581,102-108 Castle Peak Road  Yuen Long  New Territories  Hong Kong,2474 2211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Sha Tau Kok Branch,582,Block 16-18  Sha Tau Kok Chuen  Sha Tau Kok  New Territories  Hong Kong,2674 4011,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Luen Wo Market Branch,583,17-19 Wo Fung Street  Luen Wo Market  Fanling  New Territories  Hong Kong,2675 5113,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Sai Kung Branch,584,Shop No. 56 & 58  Sai Kung Town Centre  22-40 Fuk Man Road  Sai Kung  New Territories  Hong Kong,2792 1465,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Tai Tong Road Branch,585,Shop A135  1/F Hop Yick Plaza  23 Tai Tong Road  Yuen Long  New Territories  Hong Kong,2479 2113,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Mong Kok Branch,586,589 Nathan Road  Mong Kok  Kowloon  Hong Kong,2332 0111,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Shau Kei Wan (Po Man Building) Branch,587,260-262 Shau Kei Wan Road  Hong Kong,2568 5211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Yuen Long Branch,588,102-108 Castle Peak Road  Yuen Long  New Territories  Hong Kong,2474 2211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Nga Tsin Wai Road Branch,589,25 Nga Tsin Wai Road  Kowloon  Hong Kong,2383 2316,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Sheung Shui Branch,590,61 San Fung Avenue  Sheung Shui  New Territories  Hong Kong,2671 0155,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Tai Po Branch,591,68-70 Po Heung Street  Tai Po Market  New Territories  Hong Kong,2657 2121,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Sai Wan Ho Branch,592,142-146 Shau Kei Wan Road  Hong Kong,2886 3344,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Tuen Mun San Hui Branch,593,G13-G14 Eldo Court  Heung Sze Wui Road  Tuen Mun  New Territories  Hong Kong,2457 3501,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Lee Chun Street Branch,594,29-31 Lee Chung Street  Chai Wan  Hong Kong,2557 3283,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Connaught Road Central Branch,595,13-14 Connaught Road Central  Hong Kong,2841 0410,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Chai Wan (Walton Estate) Branch,596,Block B  Walton Estate  341-343 Chai Wan Road  Hong Kong,2558 6433,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Tuen Mun San Hui Branch,597,G13-G14 Eldo Court  Heung Sze Wui Road  Tuen Mun  New Territories  Hong Kong,2457 3501,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Choi Yuen Plaza Branch,598,Shop R9-10  3/F  Choi Yuen Plaza  Sheung Shui  New Territories  Hong Kong,2671 6783,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Yuen Long Branch,599,102-108 Castle Peak Road  Yuen Long  New Territories  Hong Kong,2474 2211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Tai Po Plaza Branch,600,Unit 4  Level 1 Tai Po Plaza  1 On Tai Road  Tai Po  New Territories  Hong Kong,2665 5890,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Kwun Tong Plaza Branch,601,G1 Kwun Tong Plaza  68 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2342 4295,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Clague Garden Branch,602,Shop 1-3  Commercial Complex  Clague Garden Estate  24 Hoi Shing Road  Tsuen Wan  New Territories  Hong Kong,2412 2202,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Sham Shui Po (On Ning Building) Branch,603,147-149 Castle Peak Road  Sham Shui Po  Kowloon  Hong Kong,2708 3678,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Humphrey's Avenue Branch,604,4-4A Humphrey's Avenue  Tsim Sha Tsui  Kowloon  Hong Kong,2311 3822,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Lee Chun Street Branch,605,29-31 Lee Chung Street  Chai Wan  Hong Kong,2557 3283,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Caine Road Branch,606,57 Caine Road  Hong Kong,2521 3318,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Tin Shui Estate Branch,607,Shop G30  Tin Shui Shopping Centre  Tin Shui Wai  New Territories  Hong Kong,2445 8728,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,74 Tai Wai Road Branch,608,74-76 Tai Wai Road  Sha Tin  New Territories  Hong Kong,2699 9523,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Kwun Tong Plaza Branch,609,G1 Kwun Tong Plaza  68 Hoi Yuen Road  Kwun Tong  Kowloon  Hong Kong,2342 4295,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Venice Gardens Branch,610,Shop 13-15  G/F Venice Gardens  Leung Tak Street  Tuen Mun  New Territories  Hong Kong,2455 1288,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,409 Hennessy Road Branch,611,B/F-2/F  409-415 Hennessy Road & 1/F  395-407 Hennessy Road  Wan Chai  Hong Kong,2833 8833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Fuk Tsun Street Branch,612,32-40 Fuk Tsun Street  Tai Kok Tsui  Kowloon  Hong Kong,2391 8468,MDDM
BANK OF CHINA (HONG KONG) LIMITED,019,Jordan Road Branch,613,1/F  Sino Cheer Plaza  23-29 Jordan Road  Kowloon  Hong Kong,2730 0883,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Gilman Street Branch,703,136 Des Voeux Road Central  Hong Kong,2135 1123,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Johnston Road Branch,704,152-158 Johnston Road  Wan Chai  Hong Kong,2574 8257,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Yau Ma Tei Branch,705,471 Nathan Road  Yau Ma Tei  Kowloon  Hong Kong,2780 2307,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Aberdeen Branch,706,25 Wu Pak Street  Aberdeen  Hong Kong,2553 4165,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Cheung Chau Branch,707,53-55 Tai Sun Street  Cheung Chau  New Territories  Hong Kong,2981 0021,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,26 Fu Yan Street Branch,708,26-32 Fu Yan Street  Kwun Tong  Kowloon  Hong Kong,2342 5262,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Gilman Street Branch,709,136 Des Voeux Road Central  Hong Kong,2135 1123,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Lok Fu Branch,710,Shop G204  G/F  Lok Fu Place  198 Junction Road  Kowloon  Hong Kong,2337 0271,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Ap Lei Chau Branch,711,13-15 Wai Fung Street  Ap Lei Chau  Hong Kong,2554 6487,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Aberdeen Branch,712,25 Wu Pak Street  Aberdeen  Hong Kong,2553 4165,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Tin Wan Branch,713,2-12 Ka Wo Street  Tin Wan  Hong Kong,2553 0135,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Aberdeen Branch,714,25 Wu Pak Street  Aberdeen  Hong Kong,2553 4165,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,North Point Branch,715,Shop B & C  G/F  King's Towers  480 King's Road & 15-23  19A  21A  23A Tsat Tsz Mui Road  North Point  Hong Kong,2811 8880,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Gilman Street Branch,716,136 Des Voeux Road Central  Hong Kong,2135 1123,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,194 Cheung Sha Wan Road Branch,717,G/F to 5/F  BOC Cheung Sha Wan Building  194-200 Cheung Sha Wan Road  Sham Shui Po  Kowloon  Hong Kong,2728 9389,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Gilman Street Branch,718,136 Des Voeux Road Central  Hong Kong,2135 1123,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Shanghai Street (Mong Kok) Branch,719,611-617 Shanghai Street  Mong Kok  Kowloon  Hong Kong,2394 4181,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Sheung On Street Branch,720,77 Sheung On Street  Chai Wan  Hong Kong,2897 0923,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Aberdeen Branch,721,25 Wu Pak Street  Aberdeen  Hong Kong,2553 4165,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Sha Kok Estate Branch,722,Shop 39  Sha Kok Shopping Centre  Sha Kok Estate  Sha Tin  New Territories  Hong Kong,2648 0302,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Aberdeen Branch,723,25 Wu Pak Street  Aberdeen  Hong Kong,2553 4165,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Jordan Branch,724,328-330 Nathan Road  Kowloon  Hong Kong,2928 6111,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,South Horizons Branch,727,Shop G13 & G15  G/F  Marina Square  West Commercial Block  South Horizons  12A South Horizon Drive  Ap Lei Chau  Hong Kong,2580 0345,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,194 Cheung Sha Wan Road Branch,728,G/F to 5/F  BOC Cheung Sha Wan Building  194-200 Cheung Sha Wan Road  Sham Shui Po  Kowloon  Hong Kong,2728 9389,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Tsim Sha Tsui East Branch,729,Shop 3  LG/F  Hilton Towers  96 Granville Road  Tsim Sha Tsui East  Kowloon  Hong Kong,2739 0308,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Citywalk Branch,730,Shop 65 & 67-69  G/F  Citywalk  1 Yeung Uk Road  Tsuen Wan  New Territories  Hong Kong,2920 3211,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Fanling Town Centre Branch,731,Shop 53  Level 2 Fanling Town Centre  Fanling  New Territories  Hong Kong,2669 7899,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Johnston Road Branch,732,152-158 Johnston Road  Wan Chai  Hong Kong,2574 8257,MDDM
BANK OF CHINA (HONG KONG) LIMITED,026,Sheung Kwai Chung Branch,733,7-11 Shek Yi Road  Sheung Kwai Chung  New Territories  Hong Kong,2480 6161,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Agent Bank - Hong Kong/Shenzhen Joint Clearing,030,1 Garden Road  Hong Kong,2298 7868,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Agent Bank - Hong Kong/Guangdong Province Joint Clearing,031,1 Garden Road  Hong Kong,2298 7868,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Bank of China Tower Branch,550,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Des Voeux Road West Branch,551,111-119 Des voeux Road West  Hong Kong,2546 1134,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Sham Shui Po Branch,552,207-211 Nam Cheong Street  Sham Shui Po  Kowloon  Hong Kong,2777 0171,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Shek Tong Tsui Branch,553,534 Queen's Road West  Shek Tong Tsui  Hong Kong,2819 7277,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Waterloo Road Branch,554,Shop A2  Man Kee Mansion  86 Waterloo Road  Kowloon  Hong Kong,2363 9231,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,409 Hennessy Road Branch,555,B/F-2/F  409-415 Hennessy Road & 1/F  395-407 Hennessy Road  Wan Chai  Hong Kong,2833 8833,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Castle Peak Road (Cheung Sha Wan) Branch,556,365-371 Castle Peak Road  Cheung Sha Wan  Kowloon  Hong Kong,2728 3311,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Waterloo Road Branch,557,Shop A2  Man Kee Mansion  86 Waterloo Road  Kowloon  Hong Kong,2363 9231,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Sham Shui Po Branch,558,207-211 Nam Cheong Street  Sham Shui Po  Kowloon  Hong Kong,2777 0171,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Tsuen Wan Branch,559,297-299 Sha Tsui Road  Tsuen Wan  New Territories  Hong Kong,2411 1321,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Kennedy Town Branch,560,Harbour View Garden  2-2F Catchick Street  Kennedy Town  Hong Kong,2818 6162,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Mong Kok (Silvercorp Int'l Tower) Branch,561,Shop B  707-713 Nathan Road  Mong Kok  Kowloon  Hong Kong,2391 6677,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Tuen Mun Fa Yuen Branch,562,Shop G & H  6 Tsing Hoi Circuit  Tuen Mun  New Territories  Hong Kong,2458 1033,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Lei Muk Shue Branch,563,Shop 22  Lei Muk Shue Shopping Centre  Kwai Chung  New Territories  Hong Kong,2428 5731,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,Venice Gardens Branch,564,Shop 13-15  G/F Venice Gardens  Leung Tak Street  Tuen Mun  New Territories  Hong Kong,2455 1288,MDDM
BANK OF CHINA (HONG KONG) LIMITED,030,City One Sha Tin Branch,565,Shop Nos. 24-25  G/F  Fortune City One Plus  No.2 Ngan Shing Street  Shatin  New Territories  Hong Kong,2648 8083,MDDM
